Restaurant ID,Food Id,Food Name,Price
0,0,foodname0,30
0,1,foodname1,61
0,2,foodname2,54
0,3,foodname3,66
0,4,foodname4,38
1,0,foodname0,40
1,1,foodname1,14
1,2,foodname2,22
1,3,foodname3,31
1,4,foodname4,74
2,0,foodname0,34
2,1,foodname1,47
2,2,foodname2,20
2,3,foodname3,21
2,4,foodname4,30
3,0,foodname0,20
3,1,foodname1,78
3,2,foodname2,79
3,3,foodname3,30
3,4,foodname4,16
4,0,foodname0,34
4,1,foodname1,78
4,2,foodname2,50
4,3,foodname3,32
4,4,foodname4,67
5,0,foodname0,76
5,1,foodname1,21
5,2,foodname2,27
5,3,foodname3,28
5,4,foodname4,24
6,0,foodname0,41
6,1,foodname1,58
6,2,foodname2,51
6,3,foodname3,26
6,4,foodname4,19
7,0,foodname0,61
7,1,foodname1,23
7,2,foodname2,16
7,3,foodname3,50
7,4,foodname4,19
8,0,foodname0,77
8,1,foodname1,18
8,2,foodname2,42
8,3,foodname3,32
8,4,foodname4,35
9,0,foodname0,59
9,1,foodname1,74
9,2,foodname2,59
9,3,foodname3,74
9,4,foodname4,16

